timestamp_utc,delivery_start,delivery_end,product_type,vwap_eur_mwh,high_eur_mwh,low_eur_mwh,last_eur_mwh,volume_mwh,num_trades,id3_index_eur_mwh,day_ahead_price_eur_mwh,spread_id_vs_da_eur_mwh
2026-01-05T00:00:00Z,2026-01-05 00:00,2026-01-05 00:15,QH,51.95,53.09,51.14,49.33,78.9,11,53.48,52.73,-0.78
2026-01-05T00:15:00Z,2026-01-05 00:15,2026-01-05 00:30,QH,125.04,128.28,119.29,127.16,108.6,23,125.77,52.15,72.89
2026-01-05T00:30:00Z,2026-01-05 00:30,2026-01-05 00:45,QH,47.33,58.23,45.87,45.22,74.5,10,45.51,50.84,-3.51
2026-01-05T00:45:00Z,2026-01-05 00:45,2026-01-05 01:00,QH,52.89,56.12,51.31,50.46,43.8,8,51.76,55.41,-2.51
2026-01-05T01:00:00Z,2026-01-05 01:00,2026-01-05 01:15,QH,34.6,42.0,33.95,34.06,90.4,13,37.96,54.16,-19.57
2026-01-05T01:15:00Z,2026-01-05 01:15,2026-01-05 01:30,QH,65.35,69.13,63.84,66.09,47.3,11,65.67,52.05,13.3
2026-01-05T01:30:00Z,2026-01-05 01:30,2026-01-05 01:45,QH,55.08,57.23,52.19,50.36,75.4,10,50.33,40.33,14.75
2026-01-05T01:45:00Z,2026-01-05 01:45,2026-01-05 02:00,QH,66.79,68.37,59.96,75.16,37.9,16,67.66,53.15,13.64
2026-01-05T02:00:00Z,2026-01-05 02:00,2026-01-05 02:15,QH,56.18,56.92,50.9,54.92,91.9,38,56.87,48.97,7.21
2026-01-05T02:15:00Z,2026-01-05 02:15,2026-01-05 02:30,QH,48.86,49.13,47.11,45.99,108.3,22,48.87,49.94,-1.08
2026-01-05T02:30:00Z,2026-01-05 02:30,2026-01-05 02:45,QH,39.46,49.65,37.5,35.29,108.2,17,40.51,47.76,-8.3
2026-01-05T02:45:00Z,2026-01-05 02:45,2026-01-05 03:00,QH,72.02,76.88,69.29,71.63,47.8,7,71.23,41.06,30.97
2026-01-05T03:00:00Z,2026-01-05 03:00,2026-01-05 03:15,QH,54.3,60.47,47.75,53.49,92.0,32,52.68,48.02,6.27
2026-01-05T03:15:00Z,2026-01-05 03:15,2026-01-05 03:30,QH,63.88,69.83,60.94,68.89,120.9,16,62.8,51.37,12.51
2026-01-05T03:30:00Z,2026-01-05 03:30,2026-01-05 03:45,QH,49.69,56.89,41.94,48.41,105.2,20,51.38,51.57,-1.88
2026-01-05T03:45:00Z,2026-01-05 03:45,2026-01-05 04:00,QH,27.58,34.62,22.47,36.9,100.3,18,29.08,48.21,-20.64
2026-01-05T04:00:00Z,2026-01-05 04:00,2026-01-05 04:15,QH,55.64,63.85,51.73,50.49,73.8,15,52.2,49.24,6.4
2026-01-05T04:15:00Z,2026-01-05 04:15,2026-01-05 04:30,QH,49.32,58.77,46.49,50.62,69.4,11,52.16,50.28,-0.96
2026-01-05T04:30:00Z,2026-01-05 04:30,2026-01-05 04:45,QH,37.64,38.49,35.23,43.28,104.3,25,35.81,47.75,-10.11
2026-01-05T04:45:00Z,2026-01-05 04:45,2026-01-05 05:00,QH,37.31,43.96,35.96,35.6,95.7,21,33.55,50.04,-12.73
2026-01-05T05:00:00Z,2026-01-05 05:00,2026-01-05 05:15,QH,50.23,57.88,41.93,51.92,101.4,14,54.55,45.03,5.2
2026-01-05T05:15:00Z,2026-01-05 05:15,2026-01-05 05:30,QH,61.58,63.16,57.26,60.97,70.8,15,60.21,47.16,14.41
2026-01-05T05:30:00Z,2026-01-05 05:30,2026-01-05 05:45,QH,46.36,49.68,44.11,48.18,79.7,37,43.61,45.95,0.41
2026-01-05T05:45:00Z,2026-01-05 05:45,2026-01-05 06:00,QH,46.78,46.99,39.55,42.19,95.9,20,50.16,60.12,-13.33
2026-01-05T06:00:00Z,2026-01-05 06:00,2026-01-05 06:15,QH,35.5,47.86,28.69,34.22,111.8,18,36.08,53.83,-18.33
2026-01-05T06:15:00Z,2026-01-05 06:15,2026-01-05 06:30,QH,56.43,60.94,53.43,56.46,120.0,18,59.86,52.06,4.37
2026-01-05T06:30:00Z,2026-01-05 06:30,2026-01-05 06:45,QH,40.12,44.11,39.29,42.83,102.8,19,41.41,49.69,-9.58
2026-01-05T06:45:00Z,2026-01-05 06:45,2026-01-05 07:00,QH,54.49,55.17,53.86,53.08,39.0,8,53.04,46.69,7.8
2026-01-05T07:00:00Z,2026-01-05 07:00,2026-01-05 07:15,QH,96.27,96.35,94.89,97.26,78.7,10,96.47,92.59,3.69
2026-01-05T07:15:00Z,2026-01-05 07:15,2026-01-05 07:30,QH,81.94,82.36,78.06,79.73,80.1,29,80.17,88.4,-6.46
2026-01-05T07:30:00Z,2026-01-05 07:30,2026-01-05 07:45,QH,65.7,67.56,63.5,66.03,106.0,17,66.73,79.42,-13.72
2026-01-05T07:45:00Z,2026-01-05 07:45,2026-01-05 08:00,QH,58.76,67.9,53.56,62.49,98.3,20,60.4,83.94,-25.18
2026-01-05T08:00:00Z,2026-01-05 08:00,2026-01-05 08:15,QH,163.18,164.02,159.82,164.49,79.5,11,160.5,88.01,75.17
2026-01-05T08:15:00Z,2026-01-05 08:15,2026-01-05 08:30,QH,85.62,87.48,84.51,87.03,27.1,13,85.83,89.4,-3.78
2026-01-05T08:30:00Z,2026-01-05 08:30,2026-01-05 08:45,QH,82.94,94.28,79.84,82.38,76.1,26,83.15,85.77,-2.84
2026-01-05T08:45:00Z,2026-01-05 08:45,2026-01-05 09:00,QH,82.33,86.44,80.84,80.32,44.3,17,84.11,91.01,-8.68
2026-01-05T09:00:00Z,2026-01-05 09:00,2026-01-05 09:15,QH,90.94,91.62,89.35,97.21,111.9,30,93.45,96.56,-5.63
2026-01-05T09:15:00Z,2026-01-05 09:15,2026-01-05 09:30,QH,93.86,100.51,91.5,91.99,10,3,91.14,97.18,-3.32
2026-01-05T09:30:00Z,2026-01-05 09:30,2026-01-05 09:45,QH,73.76,78.25,67.56,76.54,85.6,13,73.11,89.06,-15.31
2026-01-05T09:45:00Z,2026-01-05 09:45,2026-01-05 10:00,QH,87.17,93.91,80.37,84.35,98.5,40,87.69,97.03,-9.86
2026-01-05T10:00:00Z,2026-01-05 10:00,2026-01-05 10:15,QH,103.23,114.25,94.15,103.59,91.0,14,98.94,93.34,9.89
2026-01-05T10:15:00Z,2026-01-05 10:15,2026-01-05 10:30,QH,82.59,90.28,75.78,82.59,76.9,31,84.03,102.85,-20.26
2026-01-05T10:30:00Z,2026-01-05 10:30,2026-01-05 10:45,QH,95.58,99.97,91.41,94.15,80.0,15,95.3,96.79,-1.2
2026-01-05T10:45:00Z,2026-01-05 10:45,2026-01-05 11:00,QH,97.58,104.37,94.18,98.39,97.2,37,97.99,93.73,3.85
2026-01-05T11:00:00Z,2026-01-05 11:00,2026-01-05 11:15,QH,71.22,75.95,65.42,71.91,70.6,35,75.53,96.75,-25.52
2026-01-05T11:15:00Z,2026-01-05 11:15,2026-01-05 11:30,QH,96.2,98.66,95.88,98.01,127.0,53,99.7,87.7,8.49
2026-01-05T11:30:00Z,2026-01-05 11:30,2026-01-05 11:45,QH,97.12,101.17,92.35,98.11,108.9,19,95.35,94.93,2.2
2026-01-05T11:45:00Z,2026-01-05 11:45,2026-01-05 12:00,QH,100.61,101.01,95.35,102.17,31.8,4,102.29,98.64,1.98
2026-01-05T12:00:00Z,2026-01-05 12:00,2026-01-05 12:15,QH,109.59,115.66,107.07,111.03,121.2,17,110.59,89.29,20.3
2026-01-05T12:15:00Z,2026-01-05 12:15,2026-01-05 12:30,QH,75.83,84.86,69.87,76.82,82.2,13,77.43,96.12,-20.29
2026-01-05T12:30:00Z,2026-01-05 12:30,2026-01-05 12:45,QH,109.29,113.95,101.67,112.36,57.2,14,111.96,97.97,11.32
2026-01-05T12:45:00Z,2026-01-05 12:45,2026-01-05 13:00,QH,112.31,113.49,107.11,116.72,115.8,21,110.93,100.85,11.45
2026-01-05T13:00:00Z,2026-01-05 13:00,2026-01-05 13:15,QH,104.71,107.19,99.1,102.7,52.9,6,102.81,104.66,0.05
2026-01-05T13:15:00Z,2026-01-05 13:15,2026-01-05 13:30,QH,89.98,91.67,85.54,88.03,61.4,8,88.07,89.48,0.5
2026-01-05T13:30:00Z,2026-01-05 13:30,2026-01-05 13:45,QH,96.79,99.24,93.51,93.04,75.8,13,95.02,96.32,0.47
