delivery_date,delivery_hour,price_eur_mwh,volume_buy_mwh,volume_sell_mwh,net_position_mwh
2026-01-05,0,46.83,43704.0,44881.0,889.0
2026-01-05,1,26.21,47348.0,48637.0,1737.0
2026-01-05,2,52.44,54732.0,53191.0,-128.0
2026-01-05,3,42.41,44349.0,43401.0,-2240.0
2026-01-05,4,50.22,45418.0,46561.0,1264.0
2026-01-05,5,54.37,53714.0,54034.0,1190.0
2026-01-05,6,61.22,36481.0,36614.0,-822.0
2026-01-05,7,78.29,54719.0,55618.0,880.0
2026-01-05,8,88.35,50958.0,49474.0,-321.0
2026-01-05,9,83.19,48670.0,48152.0,2191.0
2026-01-05,10,80.69,51371.0,52176.0,1126.0
2026-01-05,11,110.7,50689.0,50272.0,1324.0
2026-01-05,12,77.61,44247.0,42391.0,-1549.0
2026-01-05,13,82.93,45914.0,44470.0,1713.0
2026-01-05,14,96.99,47393.0,48731.0,2363.0
2026-01-05,15,88.9,50571.0,50730.0,-1077.0
2026-01-05,16,90.0,38583.0,37271.0,2181.0
2026-01-05,17,82.74,41004.0,41112.0,1861.0
2026-01-05,18,97.39,35026.0,34177.0,-1980.0
2026-01-05,19,82.82,53876.0,52846.0,-918.0
2026-01-05,20,35.61,42719.0,41806.0,-1166.0
2026-01-05,21,32.39,35942.0,34249.0,-389.0
2026-01-05,22,36.21,35256.0,35465.0,-2999.0
2026-01-05,23,54.56,42392.0,44295.0,1329.0
2026-01-06,0,63.36,54022.0,53042.0,-1146.0
2026-01-06,1,49.42,36732.0,37611.0,2271.0
2026-01-06,2,53.89,45747.0,46589.0,-2864.0
2026-01-06,3,38.37,50706.0,51302.0,-78.0
2026-01-06,4,55.25,36492.0,36031.0,1431.0
2026-01-06,5,54.62,51360.0,50093.0,-1380.0
2026-01-06,6,38.08,39665.0,38247.0,2116.0
2026-01-06,7,83.2,42461.0,40787.0,-91.0
2026-01-06,8,84.45,47752.0,46360.0,1675.0
2026-01-06,9,90.15,43300.0,43225.0,2193.0
2026-01-06,10,86.95,48855.0,47002.0,-1631.0
2026-01-06,11,106.1,35499.0,37438.0,-2120.0
2026-01-06,12,88.78,36131.0,34327.0,2805.0
2026-01-06,13,90.79,44544.0,44778.0,-1940.0
2026-01-06,14,96.35,42593.0,44251.0,979.0
2026-01-06,15,101.47,46292.0,47439.0,1582.0
2026-01-06,16,96.26,38034.0,38001.0,2775.0
2026-01-06,17,99.91,47491.0,46136.0,1168.0
2026-01-06,18,84.06,51845.0,50015.0,1389.0
2026-01-06,19,74.49,48342.0,46671.0,469.0
2026-01-06,20,38.71,47311.0,46932.0,-1828.0
2026-01-06,21,29.0,46030.0,44205.0,609.0
2026-01-06,22,42.31,40426.0,39981.0,1626.0
2026-01-06,23,50.87,36776.0,36048.0,-2920.0
2026-01-07,0,43.17,37388.0,39020.0,-49.0
2026-01-07,1,46.38,40198.0,40494.0,1407.0
2026-01-07,2,39.39,40388.0,40525.0,-2245.0
2026-01-07,3,65.35,37556.0,36374.0,-174.0
2026-01-07,4,53.6,51139.0,50622.0,2209.0
2026-01-07,5,54.39,45814.0,47580.0,-1145.0
2026-01-07,6,60.33,43168.0,41896.0,15.0
2026-01-07,7,83.43,48564.0,49360.0,1805.0
2026-01-07,8,83.2,50057.0,49231.0,-457.0
2026-01-07,9,71.05,52689.0,52173.0,2936.0
2026-01-07,10,95.37,37894.0,39645.0,1499.0
2026-01-07,11,92.59,43918.0,42338.0,372.0
2026-01-07,12,95.71,43953.0,45470.0,-2823.0
2026-01-07,13,86.88,36788.0,37225.0,1841.0
2026-01-07,14,106.28,45943.0,44556.0,-1422.0
2026-01-07,15,92.11,40056.0,39274.0,1835.0
2026-01-07,16,74.86,50402.0,48592.0,-2664.0
2026-01-07,17,80.52,35637.0,34054.0,-2762.0
2026-01-07,18,83.27,46902.0,46334.0,4.0
2026-01-07,19,84.76,44665.0,45262.0,1872.0
2026-01-07,20,53.19,44648.0,44721.0,1606.0
2026-01-07,21,36.27,43585.0,45249.0,59.0
2026-01-07,22,52.66,43078.0,43985.0,2045.0
2026-01-07,23,27.03,51031.0,50815.0,-2536.0
2026-01-08,0,42.28,37859.0,39749.0,-166.0
2026-01-08,1,39.01,48902.0,50554.0,-1021.0
2026-01-08,2,36.69,51188.0,49719.0,1914.0
2026-01-08,3,47.28,45093.0,43173.0,-2575.0
2026-01-08,4,48.58,37242.0,37695.0,-2008.0
2026-01-08,5,42.94,49087.0,49254.0,-1957.0
2026-01-08,6,46.97,45827.0,44468.0,-1935.0
2026-01-08,7,79.01,48087.0,49443.0,1001.0
2026-01-08,8,88.45,54376.0,56156.0,-1668.0
2026-01-08,9,91.88,38760.0,40049.0,2776.0
2026-01-08,10,100.56,38821.0,36876.0,2954.0
2026-01-08,11,73.41,40276.0,41212.0,-2765.0
2026-01-08,12,95.22,38971.0,40361.0,1653.0
2026-01-08,13,109.42,38318.0,39568.0,-1518.0
2026-01-08,14,93.53,46433.0,47205.0,800.0
2026-01-08,15,98.02,47070.0,46880.0,1452.0
2026-01-08,16,95.6,50115.0,49897.0,862.0
2026-01-08,17,78.62,45669.0,44258.0,1126.0
2026-01-08,18,84.34,54890.0,55165.0,-198.0
2026-01-08,19,72.93,36206.0,36471.0,2077.0
2026-01-08,20,42.12,44498.0,44484.0,-2492.0
2026-01-08,21,51.41,51832.0,51002.0,939.0
2026-01-08,22,56.75,52013.0,50540.0,-1482.0
2026-01-08,23,43.65,50678.0,49793.0,221.0
